"description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"Quem não questiona, não vive de verdade!


Human Rights,
RT don't endorsement.
Trolls= sumária e sempre ignorados.",88507,6084,13561,4644,NA,"¿X?!",2011-10-04 20:23:41,FALSE,FALSE,"IvanRicardi","São Paulo, Brasil","pt","385067789",58,FALSE,"http://pbs.twimg.com/profile_images/786048812292923392/rZmdyD0o_normal.jpg"
"Deputy Editor at @ABSCBNNews | Bylines at @Poynter | Rider | Dad | Views are my own. Retweets are subtweets.",165810,10474,10235,5036,"https://t.co/Sa6ElXDcuC","Jojo Pasion Malig",2010-05-14 08:05:23,FALSE,FALSE,"JojoMalig","Metro Manila, Philippines","en","143739132",375,FALSE,"http://pbs.twimg.com/profile_images/857193962158686208/a2SkfEvK_normal.jpg"
"I'm  awake. ~ light warrior ~",4958,124,96,77,NA,"into the light",2017-02-15 16:19:05,FALSE,FALSE,"00redpill","","en","831900650850091008",1,FALSE,"http://pbs.twimg.com/profile_images/867166006925570049/jxdx7u3V_normal.jpg"
"Based on a true story.",18858,455,1217,2088,"https://t.co/3d9h5pnkTw","Glen Ocampo Garcia™",2009-05-10 08:09:18,FALSE,FALSE,"hereisgone2003","PASIG CITY, PHILIPPINES","en","39017582",5,FALSE,"http://pbs.twimg.com/profile_images/630598482856800256/Arg066vy_normal.jpg"
"Morton Security Solutions is a Security and Travel Risk Management Company that specializes in providing security services and training.",12408,300,85,515,"https://t.co/Bg2h9zYVDu","Pete Morton",2012-07-28 03:44:27,FALSE,FALSE,"MortonSecurity","Gilbert, AZ","en","721424317",26,FALSE,"http://pbs.twimg.com/profile_images/838135646875090946/iCZpCbGt_normal.jpg"
"View the world for what you think it is as opposed to what your TV says it is.  Question everything.  Learn every day. Life is beautiful.",5542,94,12722,144,NA,"Brody",2016-11-10 17:05:20,FALSE,FALSE,"Broddyy24","San Diego, CA","en","796760666858131457",4,FALSE,"http://pbs.twimg.com/profile_images/868610365998776321/sACdlr0g_normal.jpg"
"70s AP Award Winning Radio Sports Journalist WLAD/WDAQ - worked behind the scenes @CBSRadio Hartford - purveyor of news and smiles with cats #catsoftwitter <ed><U+00A0><U+00BD><ed><U+00B8><U+00B9>",40724,425,23061,709,"https://t.co/YAllwjj1Ax","Lyndon Evans",2010-08-15 05:39:35,FALSE,FALSE,"LyndonEvansCT","#Danbury, CT or Dunkin Donuts","en","178604994",98,FALSE,"http://pbs.twimg.com/profile_images/867108413188296708/NM73HcpK_normal.jpg"
"Potterhead<U+2764><U+FE0F>",6364,116,5126,442,NA,"Mari206",2012-06-25 22:48:47,FALSE,FALSE,"MariVictoriaC4","Medellín, Colombia","es","618586845",2,FALSE,"http://pbs.twimg.com/profile_images/666819227802816512/wJek3cB1_normal.jpg"
"Too many innocent ppl dying across the world. Governments are responsible, let's get rid of governments and their masters. Basic Income for all NOW",60204,1287,2577,1556,NA,"FreedomFairness",2011-07-20 13:45:06,FALSE,FALSE,"luizap1","","en","339029998",189,FALSE,"http://pbs.twimg.com/profile_images/799384265242931200/0u9pN04I_normal.jpg"
"",118474,87,1153,81,NA,"Rene",2015-07-03 23:50:46,FALSE,FALSE,"Renet1230","","en","3267464940",20,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"“Honesty is the first chapter of the book wisdom.” 
<U+2015> Thomas Jefferson",52966,13058,36678,11501,NA,"Nardeep Pujji",2009-12-12 12:49:17,FALSE,FALSE,"AWAKEALERT","","en","96336762",300,FALSE,"http://pbs.twimg.com/profile_images/581671271139672064/D-5IuRqk_normal.png"
"there are worlds out there...",8286,79,200,177,NA,"Sloane Petty",2017-04-21 19:12:30,FALSE,FALSE,"SloanePett3n","Buffalo, NY","en","855499503847264259",1,FALSE,"http://pbs.twimg.com/profile_images/855499533660426241/JNk2bSxU_normal.jpg"
"<U+6728><U+3053><U+308A><U+3060><U+3063><U+305F><U+304A><U+3070><U+3051><U+3002>Ex-lumberjack / Part-time Admiral / Hamsterohoric",31868,242,16322,1101,"http://t.co/8qWEwSACtV","<U+59EB><U+7D79><U+6BDB><U+9F20><U+63D0><U+7763>",2010-10-21 12:40:35,FALSE,FALSE,"NoahDaubman","<U+795E><U+5948><U+5DDD><U+770C><U+6D77><U+8001><U+540D><U+5E02>","ja","205702746",25,FALSE,"http://pbs.twimg.com/profile_images/3534658235/0ed220f8da23918901afd4bfe5c6e3d1_normal.jpeg"
"Gecko by God. A pitcher, hitter, and will dunk this year, promise! Love my jam band. Love my x-girls, friends forever! Love music and honest sharing. Peace!",8368,472,3252,4948,NA,"Gee Dabullyou",2013-09-18 19:33:50,FALSE,FALSE,"Geedabullyou","Guam","en","1880623160",2,FALSE,"http://pbs.twimg.com/profile_images/378800000484637209/489869c5f4919fdafc1099355a6bd3b0_normal.jpeg"
"Fearfully and wonderfully made by God",221,12,97,133,NA,"Danaé",2016-05-09 06:48:59,FALSE,FALSE,"ieladane89","Cagayan De Oro City, Northern ","en","729563799544418304",1,FALSE,"http://pbs.twimg.com/profile_images/868724739560284160/La-d-j7C_normal.jpg"
"",15566,43,15956,74,NA,"evic cabanos",2016-05-24 12:20:15,FALSE,FALSE,"EvicCabanos","","en","735082982910758913",1,FALSE,"http://pbs.twimg.com/profile_images/804335615646965760/YIrCAUdp_normal.jpg"
"",37088,264,573,137,NA,"sarah banaja",2010-08-02 12:32:03,FALSE,FALSE,"iamsarzbanaja","","en","173814268",3,FALSE,"http://pbs.twimg.com/profile_images/629172164277571584/mmiRQgOt_normal.jpg"
"a good person who enjoys life so much. #blessedandthankful",6648,91,990,338,"https://t.co/D59NLHWUYQ","anya",2009-09-16 06:58:30,FALSE,FALSE,"si_anya","Philippines","en","74672655",5,FALSE,"http://pbs.twimg.com/profile_images/814443394231455745/qRoj5hBZ_normal.jpg"
"USAF vet - Hope has 2 beautiful daughters, anger and courage. St. Augustine",6467,389,6047,579,NA,"Eye dull <ed><U+00A0><U+00BD><ed><U+00B5><U+0094>",2016-08-11 17:40:21,FALSE,FALSE,"eye_dull","Illinois, USA","en","763792180964012032",5,FALSE,"http://pbs.twimg.com/profile_images/851532825539092480/l7-ZwvHX_normal.jpg"
"",25146,180,19042,1257,NA,"Raymond lee veazey",2013-05-23 21:08:47,FALSE,FALSE,"RayvzBlanca1","","en","1452558403",107,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"Si gendut yang lucu. Ga percaya? Sini kenalan :)))))",23978,505,1160,600,NA,"Melysa Zhang",2009-10-22 14:57:42,FALSE,FALSE,"melysamelyana","seringnya sih di kantor","en","84344141",7,FALSE,"http://pbs.twimg.com/profile_images/535257721272930304/VDeun38X_normal.jpeg"
"",2079,6,0,10,NA,"Simply Delish",2012-04-19 15:12:10,FALSE,FALSE,"SimplyDelishbyV","","en","557791745",0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"",13799,90,4706,113,NA,"kiki00312",2014-08-28 18:30:49,FALSE,FALSE,"kiki00312","","en","2776902234",14,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"Ang Babaeng pasaway na 
Lakwatsera pa",769,185,2499,1965,NA,"Frecy Joy",2016-01-29 16:50:35,FALSE,FALSE,"FreBukz","Manila Philippines","en","4831117076",4,FALSE,"http://pbs.twimg.com/profile_images/825827976780533761/UCJbPGPw_normal.jpg"
"",9777,66,8760,206,NA,"ALMEIDA",2014-09-13 09:47:35,FALSE,FALSE,"rougeagent00","Manila City, National Capital ","en","2807125020",3,FALSE,"http://pbs.twimg.com/profile_images/671957156061556737/PeqIeNkY_normal.jpg"
"THE DUTERTE ADMINISTRATION",39251,616,29705,601,NA,"Yolmer-ProtectPDu30",2013-06-16 17:10:06,FALSE,FALSE,"clin_clint","far far away","en","1522675800",8,FALSE,"http://pbs.twimg.com/profile_images/789386480233742336/atJ7X06r_normal.jpg"
"Local news for the Global Visayan",21509,8140,382,6281,"http://t.co/9ztwRgca4l","Visayan Biz Post",2014-03-09 09:08:14,FALSE,FALSE,"Visayanbizpost","Ormoc, Philippines","en","2396266558",29,FALSE,"http://pbs.twimg.com/profile_images/490102713074479105/lPyPHUFF_normal.png"
"",677,7,729,18,NA,"Bellah Kawa",2017-04-18 02:45:10,FALSE,FALSE,"BellahKawa","","id","854163869635231744",0,FALSE,"http://pbs.twimg.com/profile_images/866910293758275584/Fj3ALADv_normal.jpg"
"Fiscal Conservative, Anti Big Government,  NRA ,Patriot, Tea Party, TRUTH is Not Hate speech, Futures Trader, World Traveler",44194,3389,24397,4942,"http://t.co/XS0VKMZYTy","Norman Byler",2011-07-11 10:27:32,FALSE,FALSE,"stormin4909","Oh","en","333315861",79,FALSE,"http://pbs.twimg.com/profile_images/844329243492405248/u4ws6WXW_normal.jpg"
"loves to serve GOD. has a loving Pangga with an adorable Prinsesita.",392,63,827,302,NA,"PrinsesitaJDsCakes",2012-09-01 06:13:33,FALSE,FALSE,"emmalynnbau1230","Sta. Mesa Manila","en","795456823",0,FALSE,"http://pbs.twimg.com/profile_images/833952497030959104/i0IqxUOc_normal.jpg"
"ANCHORS & SUNFLOWERS & GIRAFFES.
Yes, I love giraffes....plus Taizé!

IG&SC: judelapaz",35844,675,12491,753,"https://t.co/T3TGx1HgmI","JU",2010-11-02 07:32:04,FALSE,FALSE,"thejujutrain","Pasig City, PH","en","211078213",5,FALSE,"http://pbs.twimg.com/profile_images/858708550922653698/9CrFw-8N_normal.jpg"
"Retired RN / Hillary supporter / in a mixed marriage - he's a conservative - still making it work after 36 years.",60231,716,27526,436,NA,"Karen Folkerts",2014-12-28 15:18:18,FALSE,FALSE,"FolkiKaren","","en","2946543746",77,FALSE,"http://pbs.twimg.com/profile_images/581943692325355520/rETQEGux_normal.jpg"
"Melancholious. Feel free to be offended once you read that it's about you or feel it's you I'm pointing my tweets at. At least I got your attention, true or not",1985,44,108,70,NA,"John Anthony (<U+7EA6><U+7FF0>)",2012-07-29 03:59:58,FALSE,FALSE,"heero_yuy2","","en","723332268",4,FALSE,"http://pbs.twimg.com/profile_images/3653513161/e9836faa018be10c3ed44bc888bd61c2_normal.jpeg"
"Live long and prosper",20576,100,1524,306,NA,"Joe Lamont",2009-04-05 16:21:24,FALSE,FALSE,"itismedesu","Santa Monica","en","29011922",14,FALSE,"http://pbs.twimg.com/profile_images/1337963992/image_normal.jpg"
"PROCURADOR. TRABAJO EN LO SOCIAL, POLÍTICO, AMBIENTAL.              Autor del proyecto ARENA-OZONO (SAND-OZONE).",8893,770,4658,4799,NA,"LUCIO PALUMBO",2015-06-15 01:10:54,FALSE,FALSE,"palumbo_lucio","Maipú, Argentina","es","3325901451",15,FALSE,"http://pbs.twimg.com/profile_images/837146733767454721/vlV1Co1r_normal.jpg"
"",3051,97,170,1349,NA,"Alvin Labios",2014-12-09 06:37:43,FALSE,FALSE,"AlvinLabios1","","en","2923547407",1,FALSE,"http://pbs.twimg.com/profile_images/765838704040640512/DRfqGWpi_normal.jpg"
"I love the Philippines! 
It is the land of my birth.",76552,518,37689,673,NA,"Hannah",2010-03-14 03:06:59,FALSE,FALSE,"k4tc4rl0","Republic of the Philippines","en","122839416",141,FALSE,"http://pbs.twimg.com/profile_images/747285980051185664/zNB7VaJS_normal.jpg"
"My Pit Bull is smarter than your honor student",53957,1779,27961,1308,NA,"Boo's Deplorable Mom",2010-06-15 23:56:06,FALSE,FALSE,"georgiadeee","","en","156081202",78,FALSE,"http://pbs.twimg.com/profile_images/846042177897746436/yZLTydWd_normal.jpg"
"May contain nuts and other allergens.",14822,479,1991,600,"https://t.co/0BvMBz8bQn","EMIL",2009-05-04 12:39:11,FALSE,FALSE,"13thFool","Philippine Islands","en","37650624",11,FALSE,"http://pbs.twimg.com/profile_images/810089662203052033/k17AwHCB_normal.jpg"
"Principiis obsta, finem respice—‘Resist the beginnings, Consider the end #LestWeForget #NeverAgain
<ed><U+00A0><U+00BD><ed><U+00B0><U+008D> <ed><U+00A0><U+00BD><ed><U+00B0><U+00B8> #ProLife #Peace #Liberty #Prosperity #Justice",29950,884,2266,2029,NA,"SicSemperTyrannis",2013-10-01 01:29:13,FALSE,FALSE,"BeYour0wnLeader","Over the rainbow","en","1921883701",69,FALSE,"http://pbs.twimg.com/profile_images/825161812098158592/6_G2Gcq__normal.jpg"
"former U.S.A.F. #climatechange prognosticator - otherwise known as a meteorologist - followed and unfollowed by the famous Russian trampoline expert @rogozin",125014,2878,1953,2462,NA,"Tom Lamb",2009-11-27 09:54:45,FALSE,FALSE,"tlamb775","Anchorage, Alaska","en","92939766",273,FALSE,"http://pbs.twimg.com/profile_images/856177058094825472/8ZSiYq92_normal.jpg"
"daisies and sunflowers",9977,394,7867,243,NA,"helena",2013-08-25 12:51:58,FALSE,FALSE,"szxcbernadette","","en","1699136270",2,FALSE,"http://pbs.twimg.com/profile_images/867722625526767616/vb7OkIXG_normal.jpg"
"",5658,61,5488,42,NA,"chabellou",2016-07-23 12:55:27,FALSE,FALSE,"chabellou","","en","756835113229545474",7,FALSE,"http://pbs.twimg.com/profile_images/867743878954328064/W9BYxAu-_normal.jpg"
"Relevant updates about OFW news and enriching OFW opportunities around the world.Please take time to visit this site. Thanks!",68256,3182,92,47,NA,"OFW Updates",2009-03-06 02:44:19,FALSE,FALSE,"OFWupdates","Manila, Philippines","en","23018970",39,FALSE,"http://pbs.twimg.com/profile_images/725837049463332865/gasNXMdu_normal.jpg"
"",37366,244,8283,1091,NA,"caesuras",2008-11-20 18:12:41,FALSE,FALSE,"caesuras","","en","17517420",28,FALSE,"http://pbs.twimg.com/profile_images/65010303/IMG_2126_normal.JPG"
"a citizen who will not be silenced by hate",497,30,743,181,NA,"dimas a",2009-09-18 16:47:30,FALSE,FALSE,"dimasadiwiyoto","new york city","en","75326256",1,FALSE,"http://pbs.twimg.com/profile_images/972072360/duck_normal.jpg"
"",83840,387,10,231,NA,"Dak",2017-01-17 01:53:45,FALSE,FALSE,"dak2zeke","","en","821173632445640704",41,FALSE,"http://pbs.twimg.com/profile_images/853682775433543680/cfCd1QYN_normal.jpg"
"ask me",780,27,68,80,NA,"Titi",2017-05-22 05:42:57,FALSE,FALSE,"Titimoto69","titi island","en","866529797123354624",0,FALSE,"http://pbs.twimg.com/profile_images/867796311814410240/lTo7tt1O_normal.jpg"
"I learned to give not because I have many.... but because I know exactly How it feels to have Nothing!",3311,52,487,458,NA,"thess30",2011-09-09 00:09:57,FALSE,FALSE,"thesssseht30","laguna","en","370412762",1,FALSE,"http://pbs.twimg.com/profile_images/860787974887190529/xN76hJcB_normal.jpg"
"Retired med tech/hospice care nurse. Tree huggen flower sniffing animal kisser. I believe in peace, love and harmony.",7073,359,14471,570,NA,"Donna Portas",2017-01-01 15:03:43,FALSE,FALSE,"donna_portas","Hot-Lanta","en","815574226275041284",1,FALSE,"http://pbs.twimg.com/profile_images/816345546612998144/lgJu1XLu_normal.jpg"
"Working Grandma, Goldwater conservative",46893,741,1562,752,NA,"Lc",2011-06-07 03:25:10,FALSE,FALSE,"frozenmn","USA","en","312428361",45,FALSE,"http://pbs.twimg.com/profile_images/1385243639/image_normal.jpg"
"Man of Action,BJP member,Great fan of @narendramodi ,@PutinRF_Eng VHP,RSS,honored to be followed by Prime minister of India @narendramodi .https://t.co/yx92BCxWDL",128819,5223,39931,938,"https://t.co/cnltv8sNul","Ashok Singh <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3>",2011-03-20 11:53:53,FALSE,FALSE,"TheAshokSingh","Not in Incredible india","en","269256017",65,FALSE,"http://pbs.twimg.com/profile_images/862981866051260418/jJzPKkNi_normal.jpg"
"Former Guest Professor at Nagoya University, interested in military history, int law, geopolitics, and defence and security policy. Asia, Polar R, Falklands",47065,1417,4,1374,"https://t.co/F3fT9TfdTc","A C",2011-11-19 00:06:58,FALSE,FALSE,"A__Calvo","","en","415909637",171,FALSE,"http://pbs.twimg.com/profile_images/527882546269286400/2USY5rlc_normal.png"
"gurl has too many feelings",1628,165,1788,805,NA,"lebay",2015-06-17 14:34:32,FALSE,FALSE,"lebaymora","Manila <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD>","en","3247878324",2,FALSE,"http://pbs.twimg.com/profile_images/863091593317724160/37P5N1kZ_normal.jpg"
"",1565,29,10,72,NA,"Baby Precs",2015-09-08 10:26:23,FALSE,FALSE,"preciousprecs","Dasmariñas Cavite","en","3491914032",0,FALSE,"http://pbs.twimg.com/profile_images/820172956034678784/XQT2tdBH_normal.jpg"
"",127549,2092,8042,2792,NA,"John Sullivan",2010-10-22 20:19:59,FALSE,FALSE,"ZFTWARNING","Los Angeles","en","206363288",300,FALSE,"http://pbs.twimg.com/profile_images/1151689736/sullivan1_normal.jpg"
"#ByeFelicia! The opinions I post are my own & from my imaginary friend. We say a lot of dumb stuff. #NASCAR #Flashlights #U2",108554,2275,165480,2482,NA,"Bobby Macabagdal",2009-05-07 19:16:11,FALSE,FALSE,"vegasbob1975","Las Vegas, NV","en","38495355",193,FALSE,"http://pbs.twimg.com/profile_images/733336340117348352/i4L9f-cx_normal.jpg"
"",106268,619,8128,1436,NA,"krishanjee",2011-11-15 08:26:48,FALSE,FALSE,"krishanjee","India","en","412912426",178,FALSE,"http://pbs.twimg.com/profile_images/575881724015456256/cZthykS8_normal.jpeg"
"Private investigator working in Australia. Former police officer worked in state intelligence. A happy deplorable who served his country",135796,4060,62307,4998,NA,"Rob Critchly",2015-04-29 00:02:38,FALSE,FALSE,"CritchleyBob","Perth, Western Australia","en","3178690927",317,FALSE,"http://pbs.twimg.com/profile_images/689317634022612992/loExl-ZV_normal.jpg"
"",847,0,351,383,NA,"Megan Floyd",2017-05-26 13:02:52,FALSE,FALSE,"MeganFl61668271","","en","868090057370030080",0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"",63099,1028,24789,609,NA,"Lana Hoff",2015-09-24 16:46:13,FALSE,FALSE,"alanahoff144","","en","3762035549",66,FALSE,"http://pbs.twimg.com/profile_images/832434587238215680/YlzHhNpU_normal.jpg"
"Do not ask for love or tenderness or affection. Ds attentions are of value only when given voluntarily.",136368,1070,33193,577,NA,"marla_e <ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00B9>",2010-09-03 01:25:27,FALSE,FALSE,"quiziep8jazz101","Philippines","en","186282830",145,FALSE,"http://pbs.twimg.com/profile_images/568061053288730624/Hsn6SR9Z_normal.jpeg"
"barista, foodie from the City of Golden friendship",177,8,59,56,NA,"Chai Walah",2016-11-29 14:34:17,FALSE,FALSE,"cdocoffeeman","Cagayan De Oro City, Northern Mindanao","en","803608021800656896",0,FALSE,"http://pbs.twimg.com/profile_images/803609310005628928/-M3hZAd9_normal.jpg"
